Date,Close Price,Week Number,Column 1,Month Number,Column 2,Daily Return,Weekly Return,Monthly Return
10-Apr-23,17624.05,15,17624.05,4,17398.05,0.141484106,1.298996152,
11-Apr-23,17722.3,15,17624.05,4,17398.05,0.557476857,,
12-Apr-23,17812.4,15,17624.05,4,17398.05,0.508399023,,
13-Apr-23,17828,15,17624.05,4,17398.05,0.087579439,,
17-Apr-23,17706.85,16,17706.85,4,17398.05,-0.679549024,0.469812557,
18-Apr-23,17660.15,16,17706.85,4,17398.05,-0.263739739,,
19-Apr-23,17618.75,16,17706.85,4,17398.05,-0.234426095,,
20-Apr-23,17624.45,16,17706.85,4,17398.05,0.032351898,,
21-Apr-23,17624.05,16,17706.85,4,17398.05,-0.002269574,,
24-Apr-23,17743.4,17,17743.4,4,17398.05,0.677199622,0.206417291,
25-Apr-23,17769.25,17,17743.4,4,17398.05,0.145687974,,
26-Apr-23,17813.6,17,17743.4,4,17398.05,0.249588475,,
27-Apr-23,17915.05,17,17743.4,4,17398.05,0.56950869,,
28-Apr-23,18065,17,17743.4,4,17398.05,0.837005758,,
02-May-23,18147.65,18,18147.65,5,18147.65,0.457514531,2.278311936,4.308528829
03-May-23,18089.85,18,18147.65,5,18147.65,-0.318498538,,
04-May-23,18255.8,18,18147.65,5,18147.65,0.917365263,,
05-May-23,18069,18,18147.65,5,18147.65,-1.023236451,,
08-May-23,18264.4,19,18264.4,5,18147.65,1.08141015,0.643333985,
09-May-23,18265.95,19,18264.4,5,18147.65,0.008486455,,
10-May-23,18315.1,19,18264.4,5,18147.65,0.2690799,,
11-May-23,18297,19,18264.4,5,18147.65,-0.098825559,,
12-May-23,18314.8,19,18264.4,5,18147.65,0.097283708,,
15-May-23,18398.85,20,18398.85,5,18147.65,0.45891847,0.736131491,
16-May-23,18286.5,20,18398.85,5,18147.65,-0.610635991,,
17-May-23,18181.75,20,18398.85,5,18147.65,-0.572826949,,
18-May-23,18129.95,20,18398.85,5,18147.65,-0.284901068,,
19-May-23,18203.4,20,18398.85,5,18147.65,0.405130737,,
22-May-23,18314.4,21,18314.4,5,18147.65,0.609776196,-0.458996079,
23-May-23,18348,21,18314.4,5,18147.65,0.183462194,,
24-May-23,18285.4,21,18314.4,5,18147.65,-0.3411816,,
25-May-23,18321.15,21,18314.4,5,18147.65,0.195511173,,
26-May-23,18499.35,21,18314.4,5,18147.65,0.972646368,,
29-May-23,18598.65,22,18598.65,5,18147.65,0.536775616,1.552057397,
30-May-23,18633.85,22,18598.65,5,18147.65,0.189261049,,
31-May-23,18534.4,22,18598.65,5,18147.65,-0.533706132,,
01-Jun-23,18487.75,22,18598.65,6,18487.75,-0.251694147,,1.87407185
02-Jun-23,18534.1,22,18598.65,6,18487.75,0.250706549,,
05-Jun-23,18593.85,23,18593.85,6,18487.75,0.322378751,-0.025808325,
06-Jun-23,18599,23,18593.85,6,18487.75,0.02769733,,
07-Jun-23,18726.4,23,18593.85,6,18487.75,0.684983064,,
08-Jun-23,18634.55,23,18593.85,6,18487.75,-0.490484023,,
09-Jun-23,18563.4,23,18593.85,6,18487.75,-0.381817645,,
12-Jun-23,18601.5,24,18601.5,6,18487.75,0.205242574,0.041142636,
13-Jun-23,18716.15,24,18601.5,6,18487.75,0.616348144,,
14-Jun-23,18755.9,24,18601.5,6,18487.75,0.212383423,,
15-Jun-23,18688.1,24,18601.5,6,18487.75,-0.361486252,,
16-Jun-23,18826,24,18601.5,6,18487.75,0.73790273,,
19-Jun-23,18755.45,25,18755.45,6,18487.75,-0.374747689,0.827621428,
20-Jun-23,18816.7,25,18755.45,6,18487.75,0.326571743,,
21-Jun-23,18856.85,25,18755.45,6,18487.75,0.21337429,,
22-Jun-23,18771.25,25,18755.45,6,18487.75,-0.453946444,,
23-Jun-23,18665.5,25,18755.45,6,18487.75,-0.563361524,,
26-Jun-23,18691.2,26,18691.2,6,18487.75,0.137687177,-0.342567094,
27-Jun-23,18817.4,26,18691.2,6,18487.75,0.675184044,,
28-Jun-23,18972.1,26,18691.2,6,18487.75,0.82211145,,
30-Jun-23,19189.05,26,18691.2,6,18487.75,1.143521276,,
03-Jul-23,19322.55,27,19322.55,7,19322.55,0.695709272,3.377792758,4.515422374
04-Jul-23,19389,27,19322.55,7,19322.55,0.343898709,,
05-Jul-23,19398.5,27,19322.55,7,19322.55,0.048996854,,
06-Jul-23,19497.3,27,19322.55,7,19322.55,0.509317731,,
07-Jul-23,19331.8,27,19322.55,7,19322.55,-0.84883548,,
10-Jul-23,19355.9,28,19355.9,7,19322.55,0.12466506,0.172596267,
11-Jul-23,19439.4,28,19355.9,7,19322.55,0.431393012,,
12-Jul-23,19384.3,28,19355.9,7,19322.55,-0.283444962,,
13-Jul-23,19413.75,28,19355.9,7,19322.55,0.151927075,,
14-Jul-23,19564.5,28,19355.9,7,19322.55,0.776511493,,
17-Jul-23,19711.45,29,19711.45,7,19322.55,0.751105318,1.83690761,
18-Jul-23,19749.25,29,19711.45,7,19322.55,0.191766714,,
19-Jul-23,19833.15,29,19711.45,7,19322.55,0.424826259,,
20-Jul-23,19979.15,29,19711.45,7,19322.55,0.736141258,,
21-Jul-23,19745,29,19711.45,7,19322.55,-1.171971781,,
24-Jul-23,19672.35,30,19672.35,7,19322.55,-0.367941251,-0.198361866,
25-Jul-23,19680.6,30,19672.35,7,19322.55,0.041937033,,
26-Jul-23,19778.3,30,19672.35,7,19322.55,0.496427954,,
27-Jul-23,19659.9,30,19672.35,7,19322.55,-0.598635879,,
28-Jul-23,19646.05,30,19672.35,7,19322.55,-0.070447968,,
31-Jul-23,19753.8,31,19753.8,7,19322.55,0.548456306,0.414032894,
01-Aug-23,19733.55,31,19753.8,8,19733.55,-0.102511922,,2.127048449
02-Aug-23,19526.55,31,19753.8,8,19733.55,-1.048974969,,
03-Aug-23,19381.65,31,19753.8,8,19733.55,-0.742066571,,
04-Aug-23,19517,31,19753.8,8,19733.55,0.698340957,,
07-Aug-23,19597.3,32,19597.3,8,19733.55,0.411436184,-0.79225263,
08-Aug-23,19570.85,32,19597.3,8,19733.55,-0.134967572,,
09-Aug-23,19632.55,32,19597.3,8,19733.55,0.315264794,,
10-Aug-23,19543.1,32,19597.3,8,19733.55,-0.455620895,,
11-Aug-23,19428.3,32,19597.3,8,19733.55,-0.587419601,,
14-Aug-23,19434.55,33,19434.55,8,19733.55,0.032169567,-0.830471545,
16-Aug-23,19465,33,19434.55,8,19733.55,0.156679728,,
17-Aug-23,19365.25,33,19434.55,8,19733.55,-0.512458258,,
18-Aug-23,19310.15,33,19434.55,8,19733.55,-0.28453028,,
21-Aug-23,19393.6,34,19393.6,8,19733.55,0.432156146,-0.21070722,
22-Aug-23,19396.45,34,19393.6,8,19733.55,0.01469557,,
23-Aug-23,19444,34,19393.6,8,19733.55,0.245147952,,
24-Aug-23,19386.7,34,19393.6,8,19733.55,-0.29469245,,
25-Aug-23,19265.8,34,19393.6,8,19733.55,-0.623623412,,
28-Aug-23,19306.05,35,19306.05,8,19733.55,0.208919432,-0.451437588,
29-Aug-23,19342.65,35,19306.05,8,19733.55,0.189577878,,
30-Aug-23,19347.45,35,19306.05,8,19733.55,0.024815628,,
31-Aug-23,19253.8,35,19306.05,8,19733.55,-0.484043117,,
01-Sep-23,19435.3,35,19306.05,9,19435.3,0.942671057,,-1.511385432
04-Sep-23,19528.8,36,19528.8,9,19435.3,0.48108339,1.1537834,
05-Sep-23,19574.9,36,19528.8,9,19435.3,0.236061612,,
06-Sep-23,19611.05,36,19528.8,9,19435.3,0.184675273,,
07-Sep-23,19727.05,36,19528.8,9,19435.3,0.59150326,,
08-Sep-23,19819.95,36,19528.8,9,19435.3,0.470926976,,
11-Sep-23,19996.35,37,19996.35,9,19435.3,0.890012336,2.394156323,
12-Sep-23,19993.2,37,19996.35,9,19435.3,-0.015752875,,
13-Sep-23,20070,37,19996.35,9,19435.3,0.384130604,,
14-Sep-23,20103.1,37,19996.35,9,19435.3,0.16492277,,
15-Sep-23,20192.35,37,19996.35,9,19435.3,0.443961379,,
18-Sep-23,20133.3,38,20133.3,9,19435.3,-0.292437483,0.68487499,
20-Sep-23,19901.4,38,20133.3,9,19435.3,-1.151823099,,
21-Sep-23,19742.35,38,20133.3,9,19435.3,-0.799190007,,
22-Sep-23,19674.25,38,20133.3,9,19435.3,-0.344943738,,
25-Sep-23,19674.55,39,19674.55,9,19435.3,0.001524836,-2.278563375,
26-Sep-23,19664.7,39,19674.55,9,19435.3,-0.050064677,,
27-Sep-23,19716.45,39,19674.55,9,19435.3,0.263161909,,
28-Sep-23,19523.55,39,19674.55,9,19435.3,-0.978370853,,
29-Sep-23,19638.3,39,19674.55,9,19435.3,0.587751715,,
03-Oct-23,19528.75,40,19528.75,10,19528.75,-0.557838509,-0.741058881,0.480826126
04-Oct-23,19436.1,40,19528.75,10,19528.75,-0.474428727,,
05-Oct-23,19545.75,40,19528.75,10,19528.75,0.564156389,,
06-Oct-23,19653.5,40,19528.75,10,19528.75,0.551270737,,
09-Oct-23,19512.35,41,19512.35,10,19528.75,-0.718192688,-0.083978749,
10-Oct-23,19689.85,41,19512.35,10,19528.75,0.909680279,,
11-Oct-23,19811.35,41,19512.35,10,19528.75,0.617069201,,
12-Oct-23,19794,41,19512.35,10,19528.75,-0.087576061,,
13-Oct-23,19751.05,41,19512.35,10,19528.75,-0.216984945,,
16-Oct-23,19731.75,42,19731.75,10,19528.75,-0.097716324,1.124416075,
17-Oct-23,19811.5,42,19731.75,10,19528.75,0.404170943,,
18-Oct-23,19671.1,42,19731.75,10,19528.75,-0.708679302,,
19-Oct-23,19624.7,42,19731.75,10,19528.75,-0.235879031,,
20-Oct-23,19542.65,42,19731.75,10,19528.75,-0.418095563,,
23-Oct-23,19281.75,43,19281.75,10,19528.75,-1.33502877,-2.280588392,
25-Oct-23,19122.15,43,19281.75,10,19528.75,-0.827725699,,
26-Oct-23,18857.25,43,19281.75,10,19528.75,-1.385304477,,
27-Oct-23,19047.25,43,19281.75,10,19528.75,1.007570033,,
30-Oct-23,19140.9,44,19140.9,10,19528.75,0.491672026,-0.730483488,
31-Oct-23,19079.6,44,19140.9,10,19528.75,-0.320256623,,
01-Nov-23,18989.15,44,19140.9,11,18989.15,-0.474066542,,-2.763105678
02-Nov-23,19133.25,44,19140.9,11,18989.15,0.758854398,,
03-Nov-23,19230.6,44,19140.9,11,18989.15,0.508800125,,
06-Nov-23,19411.75,45,19411.75,11,18989.15,0.94198829,1.415032731,
07-Nov-23,19406.7,45,19411.75,11,18989.15,-0.026015171,,
08-Nov-23,19443.5,45,19411.75,11,18989.15,0.189625233,,
09-Nov-23,19395.3,45,19411.75,11,18989.15,-0.247897755,,
10-Nov-23,19425.35,45,19411.75,11,18989.15,0.154934443,,
12-Nov-23,19525.55,46,19525.55,11,18989.15,0.515820822,0.586242868,
13-Nov-23,19443.55,46,19525.55,11,18989.15,-0.419962562,,
15-Nov-23,19675.45,46,19525.55,11,18989.15,1.192683435,,
16-Nov-23,19765.2,46,19525.55,11,18989.15,0.45615221,,
17-Nov-23,19731.8,46,19525.55,11,18989.15,-0.168983871,,
20-Nov-23,19694,47,19694,11,18989.15,-0.19156894,0.862715775,
21-Nov-23,19783.4,47,19694,11,18989.15,0.453945364,,
22-Nov-23,19811.85,47,19694,11,18989.15,0.143807435,,
23-Nov-23,19802,47,19694,11,18989.15,-0.049717719,,
24-Nov-23,19794.7,47,19694,11,18989.15,-0.036864963,,
28-Nov-23,19889.7,48,19889.7,11,18989.15,0.479926445,0.993703666,
29-Nov-23,20096.6,48,19889.7,11,18989.15,1.040236907,,
30-Nov-23,20133.15,48,19889.7,11,18989.15,0.18187156,,
01-Dec-23,20267.9,48,19889.7,12,20267.9,0.669294174,,6.734108688
04-Dec-23,20686.8,49,20686.8,12,20267.9,2.066815013,4.007601925,
05-Dec-23,20855.1,49,20686.8,12,20267.9,0.813562272,,
06-Dec-23,20937.7,49,20686.8,12,20267.9,0.39606619,,
07-Dec-23,20901.15,49,20686.8,12,20267.9,-0.174565497,,
08-Dec-23,20969.4,49,20686.8,12,20267.9,0.326537057,,
11-Dec-23,20997.1,50,20997.1,12,20267.9,0.132097247,1.499990332,
12-Dec-23,20906.4,50,20997.1,12,20267.9,-0.431964414,,
13-Dec-23,20926.35,50,20997.1,12,20267.9,0.095425324,,
14-Dec-23,21182.7,50,20997.1,12,20267.9,1.225010573,,
15-Dec-23,21456.65,50,20997.1,12,20267.9,1.29327234,,
18-Dec-23,21418.65,51,21418.65,12,20267.9,-0.177101272,2.0076582,
19-Dec-23,21453.1,51,21418.65,12,20267.9,0.160841136,,
20-Dec-23,21150.15,51,21418.65,12,20267.9,-1.412150225,,
21-Dec-23,21255.05,51,21418.65,12,20267.9,0.49597757,,
22-Dec-23,21349.4,51,21418.65,12,20267.9,0.44389451,,
26-Dec-23,21441.35,52,21441.35,12,20267.9,0.430691261,0.105982403,
27-Dec-23,21654.75,52,21441.35,12,20267.9,0.995273152,,
28-Dec-23,21778.7,52,21441.35,12,20267.9,0.572391739,,
29-Dec-23,21731.4,52,21441.35,12,20267.9,-0.21718468,,
01-Jan-24,21741.9,1,21741.9,1,21741.9,0.048317182,1.401730768,7.272583741
02-Jan-24,21665.8,1,21741.9,1,21741.9,-0.350015408,,
03-Jan-24,21517.35,1,21741.9,1,21741.9,-0.685181253,,
04-Jan-24,21658.6,1,21741.9,1,21741.9,0.656447007,,
05-Jan-24,21710.8,1,21741.9,1,21741.9,0.241012808,,
08-Jan-24,21513,2,21513,1,21741.9,-0.911067303,-1.052805873,
09-Jan-24,21544.85,2,21513,1,21741.9,0.148050016,,
10-Jan-24,21618.7,2,21513,1,21741.9,0.342773331,,
11-Jan-24,21647.2,2,21513,1,21741.9,0.131830314,,
12-Jan-24,21894.55,2,21513,1,21741.9,1.142642005,,
15-Jan-24,22097.45,3,22097.45,1,21741.9,0.926714639,2.716729419,
16-Jan-24,22032.3,3,22097.45,1,21741.9,-0.294830399,,
17-Jan-24,21571.95,3,22097.45,1,21741.9,-2.089432333,,
18-Jan-24,21462.25,3,22097.45,1,21741.9,-0.508530754,,
19-Jan-24,21622.4,3,22097.45,1,21741.9,0.746193899,,
20-Jan-24,21571.8,3,22097.45,1,21741.9,-0.234016575,,
23-Jan-24,21238.8,4,21238.8,1,21741.9,-1.543682029,-3.885742473,
24-Jan-24,21453.95,4,21238.8,1,21741.9,1.013004501,,
25-Jan-24,21352.6,4,21238.8,1,21741.9,-0.472407179,,
29-Jan-24,21737.6,5,21737.6,1,21741.9,1.803059112,2.348531932,
