,Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
29,10-AUG-2023,19605.55,19623.6,19495.4,19543.1,312193785.0,29430.34
30,11-AUG-2023,19554.25,19557.75,19412.75,19428.3,235524048.0,24521.24
31,14-AUG-2023,19383.95,19465.85,19257.9,19434.55,243850815.0,22767.43
32,16-AUG-2023,19369.0,19482.75,19317.2,19465.0,226627230.0,21484.66
33,17-AUG-2023,19450.55,19461.55,19326.25,19365.25,268663456.0,26505.65
34,18-AUG-2023,19301.75,19373.8,19253.6,19310.15,256142364.0,25641.41
35,21-AUG-2023,19320.65,19425.95,19296.3,19393.6,262589133.0,20738.75
36,22-AUG-2023,19417.1,19443.5,19381.3,19396.45,208704354.0,20226.48
37,23-AUG-2023,19439.2,19472.05,19366.6,19444.0,225214991.0,20167.16
38,24-AUG-2023,19535.15,19584.45,19369.0,19386.7,268256859.0,24338.24
39,25-AUG-2023,19297.4,19339.55,19229.7,19265.8,466518217.0,24998.12
40,28-AUG-2023,19298.35,19366.85,19249.7,19306.05,248178769.0,18237.22
41,29-AUG-2023,19374.85,19377.9,19309.1,19342.65,307388116.0,22501.12
42,30-AUG-2023,19433.45,19452.8,19334.75,19347.45,233004568.0,19877.49
43,31-AUG-2023,19375.55,19388.2,19223.65,19253.8,562557215.0,45699.54
44,01-SEP-2023,19258.15,19458.55,19255.7,19435.3,372502191.0,25962.38
45,04-SEP-2023,19525.05,19545.15,19432.85,19528.8,396071122.0,24822.79
46,05-SEP-2023,19564.65,19587.05,19525.75,19574.9,303958622.0,24029.89
47,06-SEP-2023,19581.2,19636.45,19491.5,19611.05,512974083.0,32500.52
48,07-SEP-2023,19598.65,19737.0,19550.05,19727.05,304929822.0,23591.0
49,08-SEP-2023,19774.8,19867.15,19728.05,19819.95,288093693.0,23530.84
50,11-SEP-2023,19890.0,20008.15,19865.35,19996.35,248763130.0,21924.34
51,12-SEP-2023,20110.15,20110.35,19914.65,19993.2,328064239.0,30110.8
52,13-SEP-2023,19989.5,20096.9,19944.1,20070.0,251394599.0,24332.36
53,14-SEP-2023,20127.95,20167.65,20043.45,20103.1,275111881.0,21902.65
54,15-SEP-2023,20156.45,20222.45,20129.7,20192.35,438185104.0,42681.35
55,18-SEP-2023,20155.95,20195.35,20115.7,20133.3,264870758.0,21135.95
56,20-SEP-2023,19980.75,20050.65,19878.85,19901.4,378065882.0,37351.58
57,21-SEP-2023,19840.55,19848.75,19709.95,19742.35,275132260.0,26711.83
58,22-SEP-2023,19744.85,19798.65,19657.5,19674.25,246410075.0,24137.57
59,25-SEP-2023,19678.2,19734.15,19601.55,19674.55,188398392.0,20194.48
60,26-SEP-2023,19682.8,19699.35,19637.45,19664.7,204869058.0,18118.19
61,27-SEP-2023,19637.05,19730.7,19554.0,19716.45,203559874.0,19659.17
62,28-SEP-2023,19761.8,19766.65,19492.1,19523.55,352810261.0,30069.78
63,29-SEP-2023,19581.2,19726.25,19551.05,19638.3,243508919.0,20978.72
64,03-OCT-2023,19622.4,19623.2,19479.65,19528.75,221719625.0,21459.58
65,04-OCT-2023,19446.3,19457.8,19333.6,19436.1,277148310.0,26017.47
66,05-OCT-2023,19521.85,19576.95,19487.3,19545.75,234865323.0,22019.04
67,06-OCT-2023,19621.2,19675.75,19589.4,19653.5,159051277.0,16096.52
68,09-OCT-2023,19539.45,19588.95,19480.5,19512.35,165094800.0,15499.67
69,10-OCT-2023,19565.6,19717.8,19565.45,19689.85,216559447.0,18735.62
